id,publication_year,cited_by_count,author_ids
https://openalex.org/W3016360720,2020,37,"['https://openalex.org/A5072156055', 'https://openalex.org/A5054630728']"
https://openalex.org/W3098339481,2020,35,"['https://openalex.org/A5005839111', 'https://openalex.org/A5072156055', 'https://openalex.org/A5091533231', 'https://openalex.org/A5044033087', 'https://openalex.org/A5111672074']"
https://openalex.org/W2606124137,2018,22,"['https://openalex.org/A5072156055', 'https://openalex.org/A5021830443', 'https://openalex.org/A5019808661']"
https://openalex.org/W3103187161,2017,17,"['https://openalex.org/A5072156055', 'https://openalex.org/A5004325765', 'https://openalex.org/A5019808661']"
https://openalex.org/W2047940964,2004,6955,"['https://openalex.org/A5014647140', 'https://openalex.org/A5067142016', 'https://openalex.org/A5008033989']"
https://openalex.org/W2061099285,2010,927,"['https://openalex.org/A5069948947', 'https://openalex.org/A5078253058', 'https://openalex.org/A5014647140']"
https://openalex.org/W2095072199,2005,795,['https://openalex.org/A5014647140']
https://openalex.org/W2102017123,2015,514,"['https://openalex.org/A5014647140', 'https://openalex.org/A5027903946', 'https://openalex.org/A5027079032']"
https://openalex.org/W2585057539,2017,228,"['https://openalex.org/A5014647140', 'https://openalex.org/A5027079032', 'https://openalex.org/A5056242621']"
https://openalex.org/W2074562205,2014,204,"['https://openalex.org/A5110544572', 'https://openalex.org/A5014647140']"
https://openalex.org/W3189072387,2021,130,"['https://openalex.org/A5011168888', 'https://openalex.org/A5030987696', 'https://openalex.org/A5014647140', 'https://openalex.org/A5080732494', 'https://openalex.org/A5054707908', 'https://openalex.org/A5000679279']"
https://openalex.org/W2155058903,2008,148,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989', 'https://openalex.org/A5067142016']"
https://openalex.org/W2565597050,2017,119,"['https://openalex.org/A5048132210', 'https://openalex.org/A5054519023', 'https://openalex.org/A5014647140', 'https://openalex.org/A5027079032']"
https://openalex.org/W4292475382,2022,37,"['https://openalex.org/A5101803962', 'https://openalex.org/A5055446394', 'https://openalex.org/A5101965096', 'https://openalex.org/A5036936081', 'https://openalex.org/A5014647140']"
https://openalex.org/W3021340442,2005,146,"['https://openalex.org/A5014647140', 'https://openalex.org/A5008033989']"
https://openalex.org/W3121790145,2013,85,"['https://openalex.org/A5014647140', 'https://openalex.org/A5014032439']"
https://openalex.org/W2964083839,2016,76,"['https://openalex.org/A5048132210', 'https://openalex.org/A5027079032', 'https://openalex.org/A5014647140']"
https://openalex.org/W3100467400,2013,47,"['https://openalex.org/A5078651528', 'https://openalex.org/A5014647140']"
https://openalex.org/W2803567385,2018,39,"['https://openalex.org/A5054519023', 'https://openalex.org/A5054164320', 'https://openalex.org/A5048132210', 'https://openalex.org/A5014647140']"
https://openalex.org/W2130167023,2014,41,"['https://openalex.org/A5037488679', 'https://openalex.org/A5014647140']"
https://openalex.org/W2160075231,2009,42,"['https://openalex.org/A5014647140', 'https://openalex.org/A5110118358']"
https://openalex.org/W3107549912,2020,20,"['https://openalex.org/A5011168888', 'https://openalex.org/A5030987696', 'https://openalex.org/A5014647140', 'https://openalex.org/A5054707908', 'https://openalex.org/A5080732494', 'https://openalex.org/A5000679279']"
https://openalex.org/W3200179082,2021,19,"['https://openalex.org/A5101676626', 'https://openalex.org/A5014647140', 'https://openalex.org/A5027079032']"
